ID,Type,C1_L-10,C1_R+3,C2_L-10,C2_R+3,C3_L-10,C3_R+3
DSCR4-IT1,lncRNA,0.0,0.0,0.0,0.75,1.25,0.14
DSCR8,lncRNA,0.48,0.14,0.35,1.0,1.57,1.72
DSCR9,lncRNA,1.05,2.03,5.34,3.8,22.48,23.2
DSG1-AS1,lncRNA,0.0,0.0,0.08,0.0,2.82,4.5
DSG2-AS1,lncRNA,0.36,2.04,0.88,2.0,3.18,8.47
DST-AS1,lncRNA,0.48,2.5,0.5,1.46,3.05,2.79
DTD1-AS1,lncRNA,0.22,0.0,0.0,0.0,3.17,0.74
DTNB-AS1,lncRNA,0.0,0.0,1.0,1.0,1.35,1.11
DTX2P1-UPK3BP1-PMS2P11,lncRNA,4.34,3.89,4.36,4.5,12.31,6.38
DUBR,lncRNA,11.78,9.43,14.7,5.86,66.51,60.44
DUSP5-DT,lncRNA,0.8,2.86,3.85,6.39,9.96,15.34
DUXAP8,lncRNA,3.52,4.7,6.02,7.9,17.85,27.71
DYRK3-AS1,lncRNA,0.33,1.2,0.36,0.54,4.76,7.74
E2F3-IT1,lncRNA,0.56,0.0,0.0,2.0,0.29,0.2
EAF1-AS1,lncRNA,2.31,7.45,6.76,4.06,59.33,55.46
EBLN3P,lncRNA,4.94,23.58,6.85,8.72,25.27,21.57
ECE1-AS1,lncRNA,0.31,6.2,3.71,1.94,2.82,8.35
ECI2-DT,lncRNA,2.25,0.43,0.46,2.0,3.15,4.64
EDIL3-DT,lncRNA,5.94,7.35,18.88,12.96,20.21,20.16
EDNRB-AS1,lncRNA,4.53,0.45,3.5,6.5,4.68,2.34
EDRF1-AS1,lncRNA,1.45,4.6,0.41,1.74,5.43,7.33
EDRF1-DT,lncRNA,1.31,1.33,1.45,3.28,8.73,10.44
EFCAB14-AS1,lncRNA,0.06,0.0,0.0,1.5,0.38,0.05
EFCAB6-AS1,lncRNA,2.47,0.15,2.3,3.27,8.2,7.02
EGFLAM-AS1,lncRNA,0.0,0.11,0.0,0.0,0.87,2.49
EGFLAM-AS2,lncRNA,1.28,0.0,0.81,1.94,5.4,5.09
EGFLAM-AS3,lncRNA,0.0,1.0,0.0,1.06,0.7,0.79
EGFLAM-AS4,lncRNA,21.87,75.15,11.97,16.2,17.39,28.66
EGFR-AS1,lncRNA,0.52,1.27,1.03,0.2,6.52,5.05
EGILA,lncRNA,0.11,0.0,0.0,0.5,0.43,1.83
EGLN3-AS1,lncRNA,0.0,0.33,0.0,0.0,2.58,0.71
EGOT,lncRNA,0.28,0.61,1.17,0.0,3.11,1.63
EHD4-AS1,lncRNA,0.19,0.18,1.2,1.25,5.66,4.61
EHHADH-AS1,lncRNA,3.17,1.0,0.7,0.0,1.64,1.69
EHMT2-AS1,lncRNA,3.05,0.91,2.18,0.56,19.37,19.22
EIF1AX-AS1,lncRNA,0.11,0.41,0.25,0.0,1.45,0.7
EIF1B-AS1,lncRNA,13.61,12.59,28.71,19.41,73.73,85.22
EIF2AK3-DT,lncRNA,0.7,1.16,2.83,13.65,12.62,14.66
EIF2B5-DT,lncRNA,2.45,0.5,0.96,1.86,17.48,13.8
EIF3J-DT,lncRNA,5.03,9.4,3.7,11.74,20.88,34.14
EIPR1-IT1,lncRNA,0.33,0.0,0.2,1.25,2.66,1.32
ELAVL4-AS1,lncRNA,24.79,176.63,9.45,8.27,4.75,29.11
ELDR,lncRNA,4.74,9.54,15.12,5.02,30.19,25.5
ELF3-AS1,lncRNA,3.58,5.09,3.1,6.56,12.81,18.19
ELFN1-AS1,lncRNA,0.69,0.0,0.67,1.0,6.84,4.32
ELFN2,lncRNA,1.27,1.68,2.73,3.13,9.58,19.15
ELMO1-AS1,lncRNA,1.5,19.62,1.53,2.13,1.42,3.68
ELN-AS1,lncRNA,0.0,0.74,0.58,0.74,1.05,0.44
ELOA-AS1,lncRNA,1.39,6.69,1.81,3.36,5.16,4.74
ELOVL2-AS1,lncRNA,5.2,4.54,6.2,2.55,19.06,9.2
EMC1-AS1,lncRNA,2.64,6.5,13.81,0.24,5.38,5.65
EML2-AS1,lncRNA,0.35,0.55,1.84,0.5,10.69,14.88
EML4-AS1,lncRNA,2.23,1.86,9.56,3.53,16.63,29.93
EML6-AS1,lncRNA,0.0,0.63,0.0,1.14,1.89,1.19
EMSLR,lncRNA,0.92,8.58,1.81,9.55,7.12,15.31
EMX2OS,lncRNA,8.97,11.93,13.14,6.95,33.34,27.06
ENO1-AS1,lncRNA,1.6,0.15,0.0,0.3,5.48,3.2
ENOX1-AS1,lncRNA,1.0,6.46,2.64,4.0,4.7,14.74
ENOX1-AS2,lncRNA,3.0,1.07,0.0,0.17,2.08,0.59
ENTPD1-AS1,lncRNA,24.49,37.43,57.69,32.34,130.74,95.5
ENTPD3-AS1,lncRNA,43.57,68.48,8.78,10.88,12.39,54.35
EP300-AS1,lncRNA,0.2,0.57,0.2,2.0,2.52,1.39
EPB41L4A-AS1,lncRNA,1.62,3.87,4.07,3.48,24.05,28.87
EPB41L4A-DT,lncRNA,3.45,4.91,7.11,8.32,29.39,23.86
EPCAM-DT,lncRNA,1.0,1.56,4.33,6.97,11.95,13.38
EPHA1-AS1,lncRNA,16.36,28.03,5.98,4.05,45.76,50.19
EPHA5-AS1,lncRNA,0.42,1.05,1.66,1.15,5.73,4.53
EPN2-AS1,lncRNA,0.07,0.2,0.0,0.0,1.93,4.14
EPS15-AS1,lncRNA,2.0,5.09,1.8,5.0,4.56,0.25
ERC2-IT1,lncRNA,3.0,0.74,0.51,0.35,16.91,19.95
ERCC8-AS1,lncRNA,0.0,0.0,0.0,0.11,1.59,0.24
ERI3-IT1,lncRNA,1.0,0.0,0.0,0.33,1.47,1.11
ERICD,lncRNA,0.24,1.49,1.18,4.1,13.64,12.39
ERICH3-AS1,lncRNA,5.12,6.69,1.59,8.23,7.25,8.58
ERICH6-AS1,lncRNA,3.34,2.78,9.34,1.04,25.78,32.04
ERLNC1,lncRNA,2.81,2.0,4.54,7.95,10.25,16.9
ERVE-1,lncRNA,0.39,2.04,0.82,0.0,3.86,3.41
ERVH-1,lncRNA,1.0,0.0,0.47,0.07,2.89,1.5
ERVK-28,lncRNA,0.0,0.0,0.0,0.22,0.55,0.6
ERVK13-1,lncRNA,185.28,43.85,12.8,21.85,100.79,76.16
ERVK9-11,lncRNA,0.5,4.05,3.05,1.5,6.7,6.98
ESRG,lncRNA,1.2,2.33,2.45,1.54,3.86,2.16
ETS1-AS1,lncRNA,0.99,0.11,0.75,0.96,7.85,3.39
ETV5-AS1,lncRNA,0.0,0.0,0.07,0.0,0.33,0.0
ETV7-AS1,lncRNA,0.2,4.11,1.83,2.03,47.41,40.94
EVX1-AS,lncRNA,1.02,0.92,3.31,1.7,22.68,18.91
EWSAT1,lncRNA,2.2,1.83,4.85,0.0,12.65,7.34
EXOC3-AS1,lncRNA,4.67,3.9,16.26,2.55,32.99,27.48
EXOSC10-AS1,lncRNA,0.42,0.14,1.03,0.18,4.94,2.58
