"ID","logFC","logCPM","LR","PValue","FDR"
"AL133553.1",4.4103833687148,3.60636870910944,8.33379529471639,0.00389142745405356,0.39012141613819
"LINC01470",1.91660931535067,5.00993262732467,8.32868928832989,0.00390238038654972,0.39012141613819
"AC116913.1",-2.21458597285253,4.53842232938101,8.31111256235843,0.00394032474668917,0.39012141613819
"AC084212.1",-2.27015929972266,4.50139689055121,8.29350896633537,0.00397870341412332,0.39012141613819
"AL034546.1",3.145028131119,4.07240212227508,8.28937587528982,0.0039877692164962,0.39012141613819
"AL139008.2",3.145028131119,4.07240212227508,8.28937587528982,0.0039877692164962,0.39012141613819
"AC092645.2",2.07613197613022,4.80493252944391,8.28841232377447,0.00398988575527622,0.39012141613819
"LINC02023",3.14575152730643,4.06375557685498,8.28616046764408,0.00399483664423615,0.39012141613819
"LINC01545",4.40782389010347,3.60038482996776,8.27938473139196,0.00400977138672995,0.39012141613819
"AP003059.1",2.4068284251172,4.46027283548949,8.2549068020992,0.00406419940672675,0.393020398386254
"AC108134.2",-1.8205549512832,8.38529407975148,8.19599021188245,0.00419830739405193,0.401347057456592
"AC024651.1",2.54098591520662,4.29984404104023,8.19499474637743,0.00420061159408692,0.401347057456592
"LINC02398",2.387425073476,4.53131231828488,8.16011068058014,0.00428217579310184,0.406704743778172
"AC027763.2",-4.37550909682558,3.52090329984943,8.08669723245267,0.0044591350964235,0.417089911142161
"AL354696.2",2.35465530732027,4.41906906622302,8.0846712937481,0.00446412272349022,0.417089911142161
"AP002518.1",1.83673659710044,5.12078825578397,8.08041199269661,0.00447462716376981,0.417089911142161
"LINC02055",-1.62717614011918,8.1118522561568,8.06679999135774,0.00450836662102713,0.417089911142161
"LINC00703",-2.55244629602193,4.5590735743921,8.06124062600506,0.00452222077134582,0.417089911142161
"HLA-DQB1-AS1",3.10587577037121,4.1105629350008,8.02183794333388,0.00462166447499144,0.423811944614732
"INTS6-AS1",1.59512408649562,6.23987988357302,8.00429271562002,0.00466665867252536,0.424939478722675
"LINC02054",1.79043994306356,5.31319899566778,7.99633062630306,0.00468722413231329,0.424939478722675
"U82671.1",-1.68994977636214,6.28274381969449,7.88918957043718,0.00497311435246425,0.448310805694461
"AC073140.1",-1.9562173184623,18.0831154224481,7.8248335013941,0.00515331938639876,0.461435695691396
"AC025449.2",1.81134707162092,5.04443531656698,7.80662064924556,0.00520551592730123,0.461435695691396
"LINC02382",-2.07798419090212,4.83654304997346,7.79774600678502,0.00523114487282176,0.461435695691396
"AC115102.1",3.08197723909606,4.00989203279051,7.79662689135742,0.0052343858686477,0.461435695691396
"AL121932.2",-1.61613355924655,7.61945774911552,7.77946832225192,0.00528433472222536,0.463279367185868
"AC010525.1",3.12086272923677,3.95363132339028,7.7548608284365,0.00535681693114797,0.463354355497336
"AC004485.1",4.25418723937559,3.59362445351814,7.74964549728095,0.00537230858404406,0.463354355497336
"AL139142.1",4.25418723937559,3.59362445351814,7.74964549728095,0.00537230858404406,0.463354355497336
"DNM3OS",-1.63366098251464,8.9632079654468,7.72388990564621,0.00544948560035517,0.467483829243371
